Date,Time Start,Time End,Tracks,Session Title,Room/Location,Description,Speakers,Role: Moderators,Authors,Recorded Video URL,Session or Sub-session,Tags
10/6/2024,5:00pm,7:00pm,,Early Registration,Registration Area,,,,,,Session,
10/7/2024,7:00am,9:00am,,Morning Registration,Registration Area,,,,,,Session,
10/7/2024,9:00am,9:15am,,Opening Remarks,Main Hall,,,,,,Session,
10/7/2024,1:00pm,2:30pm,,Lunch Break,Dining Area,,,,,,Session,
10/8/2024,1:00pm,2:30pm,,Lunch Break,Dining Area,,,,,,Session,
10/9/2024,1:00pm,2:30pm,,Lunch Break,Dining Area,,,,,,Session,
10/7/2024,11:00am,1:00pm,,Poster Session 1,Poster Area,,,,,,Session,
10/7/2024,11:00am,1:00pm,,#1: Multi-hop Question Answering under Temporal Knowledge Editing,Poster #1,"Multi-hop question answering (MQA) under knowledge editing (KE) has garnered significant attention in the era of large language models. However, existing models for MQA under KE exhibit poor performance when dealing with questions containing explicit temporal contexts. To address this limitation, we propose a novel framework, namely TEMPoral knowLEdge augmented Multi-hop Question Answering (TEMPLE-MQA). Unlike previous methods, TEMPLE-MQA first constructs a time-aware graph (TAG) to store edit knowledge in a structured manner. Then, through our proposed inference path, structural retrieval, and joint reasoning stages, TEMPLE-MQA effectively discerns temporal contexts within the question query. Experiments on benchmark datasets demonstrate that TEMPLE-MQA significantly outperforms baseline models. Additionally, we contribute a new dataset, namely TKEMQA, which serves as the inaugural benchmark tailored specifically for MQA with temporal scopes.",,,"Keyuan Cheng, Gang Lin, Haoyang Fei, Yuxuan Zhai, Lu Yu, Muhammad Asif Ali, Lijie Hu, Di Wang",,Sub,
10/7/2024,11:00am,1:00pm,,#2: Handling Open-Vocabulary Constructs in Formalizing Specifications: Retrieval Augmented Parsing with Expert Knowledge,Poster #2,"We study the problem of Open-vocabulary constructs (OVCs), ones that are not known beforehand, in the context of converting natural
language (NL) specification sentences into formal languages (e.g., LTL or code).  Models tend to fare poorly on such OVCs, since they do
not have the necessary knowledge a priori.  In such settings, a domain expert can provide the correct constructs based on their
preference or domain knowledge at inference time. Our goal is to effectively reuse this inference-time, expert-provided knowledge in future specification sentences without having to retrain the model.  To this end, we first present a new parsing setting---\emph{dynamic knowledge-augmented parsing} (DKAP)---where, in addition to the input sentence, the model is given (dynamically growing) expert knowledge in the form of a key-value lexicon that associates NL phrases with correct OVC constructs.  To address the DKAP problem, we propose ROLex, a retrieval-augmented parsing approach that uses the dynamic expert lexicon.  ROLex consists of a retriever and a generator that are trained to find and use the relevant subset of the key-value store to produce the correct parse. One key challenge in realizing this solution is the lack of training data for the retrieval-augmented parsing.  We show how we can make use of synthetic data generation, along with original task-level training data---i.e., the (NL sentence, FL statement) pairs---to carry out the requisite training for the retrieval-augmented parsing setting. Further, to improve training effectiveness, we have devised multiple strategies for focusing the model on the relevant subset of retrieved knowledge. Finally, we introduce a new evaluation paradigm designed to address the DKAP problem by simulating the dynamic expert-provided knowledge in three different formalization settings (NL2LTL, NL2Code, and NL2CMD). Our evaluations show that DKAP is a difficult challenge, and ROLex helps improve the performance of baseline models by using dynamic expert knowledge effectively.",,,"Mohammad Saqib Hasan, Sayontan Ghosh, Dhruv Verma, Geoff Kuenning, Erez Zadok, Scott Smolka, Niranjan Balasubramanian",,Sub,
10/7/2024,11:00am,1:00pm,,#3: An In-Context Learning Agent for Formal Theorem-Proving,Poster #3,"We present an in-context learning agent for formal theorem-proving in environments like Lean and Coq. Current state-of-the-art models for the problem are finetuned on environment-specific proof data. By contrast, our approach, called COPRA, repeatedly asks a high-capacity, general-purpose large language model (GPT-4) to propose tactic applications from within a stateful backtracking search. Proposed tactics are executed in the underlying proof environment. Feedback from the execution is used to build the prompt for the next model query, along with selected information from the search history and lemmas retrieved from an external database. We evaluate our implementation of COPRA on the miniF2F benchmark for Lean and a set of Coq tasks from the CompCert project. On these benchmarks, COPRA significantly outperforms few-shot invocations of GPT-4. It also compares favorably against finetuning-based approaches, outperforming REPROVER, a state-of-the-art finetuned approach for Lean, in terms of the pass@1 metric. Our code and data are available at https://github.com/trishullab/copra",,,"Amitayush Thakur, George Tsoukalas, Yeming Wen, Jimmy Xin, Swarat Chaudhuri",,Sub,
10/7/2024,11:00am,1:00pm,,#4: RAFT: Adapting Language Model to Domain Specific RAG,Poster #4,"Pretraining Large Language Models (LLMs) on large corpora of textual data is now a standard paradigm. 
When using these LLMs for many downstream applications, it is common to additionally incorporate new information into the pretrained model either through RAG-based-prompting, or finetuning. 
However, the best methodology to incorporate information remains an open question. 
In this paper, we present Retrieval Augmented Fine Tuning (RAFT), a training recipe which improves the model's ability to answer questions in ""open-book"" in-domain settings. In training RAFT, given a question, and a set of retrieved documents, we train the model to ignore those documents that don't help in answering the question, which we call, distractor documents. RAFT accomplishes this by citing verbatim the right sequence from the relevant document to help answer the question. This coupled with RAFT's chain-of-thought-style response helps improve the model's ability to reason. In domain specific RAG, RAFT consistently improves the model's performance across PubMed, HotpotQA, and Gorilla datasets, presenting a post-training recipe to improve pre-trained LLMs to in-domain RAG.",,,"Tianjun Zhang, Shishir G Patil, Naman Jain, Sheng Shen, Matei Zaharia, Ion Stoica, Joseph E. Gonzalez",,Sub,
10/7/2024,11:00am,1:00pm,,#5: Understanding Retrieval Augmentation for Long-Form Question Answering,Poster #5,"How retrieved documents are used in language models (LMs) for long-form generation task is understudied. We present two controlled studies on retrieval-augmented LM for long-form question answering (LFQA): one fixing the LM and varying evidence documents and the other fixing evidence documents and varying the LMs.
We study various attributes of generated answers (e.g., fluency, length, variance), with an emphasis on the attribution of generated answers to in-context evidence documents. We collect a dataset (SALAD) containing human annotations of sentence-level answer attribution in LFQA and evaluate existing methods for automatically judging attribution.
We find that while LMs can leverage relevant in-context documents, the generated answer is only partially attributable towards the documents, especially for LMs trained without retrieval augmentation.
Together, our analysis reveals how retrieval augmentation impacts long knowledge-rich text generation and provide directions for future work.",,,"Hung-Ting Chen, Fangyuan Xu, Shane Arora, Eunsol Choi",,Sub,
10/7/2024,11:00am,1:00pm,,#6: Source-Aware Training Enables Knowledge Attribution in Language Models,Poster #6,"Large language models (LLMs) learn a vast amount of knowledge during pretraining, but they are often oblivious to the source(s) of such knowledge. We investigate the problem of intrinsic source citation, where LLMs are required to cite the pretraining source supporting a generated response. Intrinsic source citation can enhance LLM transparency, interpretability, and verifiability. To give LLMs such ability,
we explore source-aware training---a recipe that involves (i) training the LLM to associate unique source document identifiers with the knowledge in each document, followed by (ii) an instruction-tuning stage to teach the LLM to cite a supporting pretraining source when prompted. Source-aware training borrows from existing pretraining/fine-tuning frameworks and requires minimal changes to the model architecture or implementation. Through experiments on synthetic data, we demonstrate that our training recipe can enable faithful attribution to the pretraining data without a substantial impact on the model's perplexity compared to standard pretraining. Our findings also highlight the importance of pretraining data augmentation in achieving attribution.",,,"Muhammad Khalifa, David Wadden, Emma Strubell, Honglak Lee, Lu Wang, Iz Beltagy, Hao Peng",,Sub,
10/7/2024,11:00am,1:00pm,,#7: Unveiling LLMs: The Evolution of Latent Representations in a Dynamic Knowledge Graph,Poster #7,"Large Language Models (LLMs) demonstrate an impressive capacity to recall a vast range of factual knowledge. 
However, understanding their underlying reasoning and internal mechanisms in exploiting this knowledge remains a key research area.
This work unveils the factual information an LLM represents internally for sentence-level claim verification.
We propose an end-to-end framework to decode factual knowledge embedded in token representations from a vector space to a set of ground predicates, showing its layer-wise evolution using a dynamic knowledge graph.
Our framework employs activation patching, a vector-level technique that alters a token representation during inference, to extract encoded knowledge.
Accordingly, we neither rely on training nor external models.
Using factual and common-sense claims from two claim verification datasets, we showcase interpretability analyses at local and global levels.
The local analysis highlights entity centrality in LLM reasoning, from claim-related information and multi-hop reasoning to representation errors causing erroneous evaluation.
On the other hand, the global reveals trends in the underlying evolution, such as word-based knowledge evolving into claim-related facts.
By interpreting semantics from LLM latent representations and enabling graph-related analyses, this work enhances the understanding of the factual knowledge resolution process.",,,"Marco Bronzini, Carlo Nicolini, Bruno Lepri, Jacopo Staiano, Andrea Passerini",,Sub,
